position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
77	6wWaVoUOzLQJHd3bWAUpdZ	Never Recover (Lil Baby & Gunna, Drake)	Lil Baby	385043	81	11	5	4
78	3J5YrOvX2A0EA0j4BARQ9o	Look Back at It	A Boogie Wit da Hoodie	383457	69	2	69	-9
79	5274I4mUMnYczyeXkGDWZN	Fine China	Future	383327	80	9	13	1
80	6o79O9qBP3OAkWOXajAQIS	WAKA	6ix9ine	378831	51	4	14	-29
81	2RSHsoi04658QL5xgQVov3	Bad Liar	Imagine Dragons	376335	104	6	27	23
82	6YJdPrH3i2POzu7hdHIRrb	Santa Baby	Ariana Grande	375441	100	3	82	18
83	4qKcDkK6siZ7Jp1Jb4m0aL	Look Alive (feat. Drake)	BlocBoy JB	372674	84	45	2	1
84	2MShy1GSSgbmGUxADNIao5	Calling My Spirit	Kodak Black	366736	nan	1	84	new
85	0AluA5RNsa4Cx6XRhf2hWZ	10 Freaky Girls (with 21 Savage)	Metro Boomin	366358	82	5	23	-3
86	60SdxE8apGAxMiRrpbmLY0	Lucky You (feat. Joyner Lucas)	Eminem	365723	85	16	1	-1
87	79OEIr4J4FHV0O3KrhaXRb	Splashin	Rich The Kid	364978	152	2	87	65
88	7m9OqQk4RVRkw9JJdeAw96	Jocelyn Flores	XXXTENTACION	353240	77	69	9	-11
89	2uFaJJtFpPDc5Pa95XzTvg	Let It Snow! Let It Snow! Let It Snow!	Dean Martin	350230	110	3	89	21
90	2GGMabyHXnJmjY6CXhhB2e	Money	Cardi B	345988	95	8	23	5
91	4BiiOzZCrXEzHRLYcYFiD5	Hope	The Chainsmokers	343845	nan	1	91	new
92	25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	343500	134	12	49	42
93	1KVczjazCcCCgM3gXXUl47	Roses (with Juice WRLD feat. Brendon Urie)	benny blanco	342059	105	2	93	12
94	3PIDciSFdrQxSQSihim3hN	Christmas (Baby Please Come Home)	Mariah Carey	341461	116	3	94	22
