position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
17	4FxumkF81ICxITeqxx4nK9	Sim ou não (participação especial Maluma)	Anitta	1005009	16	7	10	-1
18	6mICuAdrwEjh6Y6lroV2Kg	Chantaje (feat. Maluma)	Shakira	995146	13	7	13	-5
19	0jIitZeIQRTaZgFQf2WpGK	Decide Aí - Na Praia / Ao Vivo	Matheus & Kauan	985058	19	7	13	0
20	72jbDTw1piOOj770jWNeaG	Paris	The Chainsmokers	974248	17	5	17	-3
21	4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake	971415	20	7	11	-1
22	2wFnRPjuqwNySFiK0Qfg8L	10% - Ao Vivo	Maiara & Maraisa	965188	18	7	6	-4
23	6vve9WKW5I7fQzkU8dNsUE	E Essa Boca Aí? - Ao Vivo	Bruninho & Davi	961228	22	7	21	-1
24	5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5	909881	21	7	16	-3
25	4aAq1afusFG6jRiOSHQZvN	Tumbalatum	MC Kevinho	895219	24	7	24	-1
26	2GfxgssRHvY1azHtaRqKoK	Paredes - Ao Vivo	Jorge & Mateus	856815	28	7	19	2
27	4YhPcVIxIAJrLhFVPGbJkE	De Quem É a Culpa? - Ao Vivo	Marília Mendonça	849658	35	5	27	8
28	4pLwZjInHj3SimIyN9SnOz	Side To Side	Ariana Grande	831904	26	7	20	-2
29	5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	820176	25	7	25	-4
30	000xYdQfIZ4pDmBGzQalKU	Eu, Você, O Mar e Ela	Luan Santana	812243	29	7	15	-1
31	6DNtNfH8hXkqOX1sjqmI7p	Cold Water (feat. Justin Bieber & MØ)	Major Lazer	809945	23	7	12	-8
32	38MpAndIjGAyVdcC6npX95	Infiel - Ao Vivo	Marília Mendonça	803339	31	7	14	-1
33	12wiyBZqQ3mOU7AfygXJCw	Homem de Família - Ao Vivo	Gusttavo Lima	801558	32	7	28	-1
34	2Gvn46nwyQhUnQiFhlP7WX	Como Faz Com Ela - Ao Vivo	Marília Mendonça	790858	34	7	22	0
35	1xznGGDReH1oQq0xzbwXa3	One Dance	Drake	784225	30	7	17	-5
36	1vvNmPOiUuyCbgWmtc6yfm	My Way	Calvin Harris	772560	33	7	23	-3
37	4sFVdIwmVj2y87qqOWwSU3	Se o Amor Tiver Lugar	Jorge & Mateus	752033	45	3	37	8
38	4aWmUDTfIPGksMNLV2rQP2	Despacito (Featuring Daddy Yankee)	Luis Fonsi	736952	44	3	38	6
39	4jswhbcaGqFe8v5uSHlqyb	O Verão Está Chegando	Mc Davi	734561	41	7	39	2
40	6SwI4OplF8m5NH8wHKIps8	O Nosso Santo Bateu - Na Praia / Ao Vivo	Matheus & Kauan	733971	37	7	23	-3
41	6b8Be6ljOzmkOmFslEb23P	24K Magic	Bruno Mars	733050	36	7	24	-5
42	1LTxGBL6yKtfmW3K8EvbSY	Partiu	MC Kekel	718943	42	7	42	0
43	41mt7YrfLrIc4EQJZFCJtw	Como É Que a Gente Fica - Ao Vivo	Henrique & Juliano	708827	40	7	25	-3
44	2DAGCHu5aoo2FOjmtU9ojo	50 Reais	Naiara Azevedo	701768	38	7	16	-6
45	3EmmCZoqpWOTY1g2GBwJoR	Just Hold On	Steve Aoki	694003	39	7	35	-6
46	2InJDvDcA4RXEeA9njdibl	Louca de Saudade - Ao Vivo	Jorge & Mateus	669660	43	7	36	-3
47	3ebXMykcMXOcLeJ9xZ17XH	Scared to Be Lonely	Martin Garrix	658352	53	3	47	6
48	4TZy1wLyHec06pwgFYDh1a	Mercy	Shawn Mendes	656428	47	7	39	-1
49	3dRBzTOu9polrH9U6Vh2zw	Ou Some Ou Soma - Ao Vivo	Jorge & Mateus	647259	46	7	31	-3
50	04DwTuZ2VBdJCCC5TROn7L	In the Name of Love	Martin Garrix	640241	48	7	41	-2
51	1e315r3zQjsng2z952ePQ1	Ninguém É de Ferro	Wesley Safadão	620720	nan	1	51	new
52	5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd	609617	49	7	46	-3
53	40bK2uosUmAS92c17n98xd	Acordando o Prédio	Luan Santana	581946	150	2	53	97
54	0Zu7NVn4IvfYuEIrD11UVr	Na Hora da Raiva - Ao Vivo	Henrique & Juliano	568898	51	7	35	-3
55	6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	566851	50	6	15	-5
56	3eGK0WFi6ISJ9UZA6Za4HX	Singular	ANAVITÓRIA	544482	54	7	52	-2
57	7hA7pMp2Vr1OCC4sWYwaMG	Our Way	FTampa	544060	56	7	52	-1
58	6UZJOc2HBrTp9DYfir9N8n	Regime Fechado - Ao Vivo	Simone & Simaria	542826	59	7	56	1
59	2yGnStdGP0V45lPXAJpmDb	Agora Eu Quero Ir	ANAVITÓRIA	539580	52	7	51	-7
60	2KGv51jgAz8OTjNPyRryfq	Pra Sempre Com Você - Ao Vivo	Jorge & Mateus	538393	55	7	42	-5
61	0phVJ23NJlruwtt1XCm94N	Flor e o Beija-Flor - Ao Vivo	Henrique & Juliano	526735	60	7	46	-1
