position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
103	7x9nXsowok1JszkVztI5NI	Writing on the Wall (feat. Post Malone & Cardi B)	French Montana	6597128	75	5	48	-28
104	7KbF6AdprOXEEHlsq11Z6d	11 PM	Maluma	6590652	93	24	31	-11
105	4fwo6czG5nvOQMzhOto1ya	Lonely (with Jonas Brothers)	Diplo	6586369	99	5	80	-6
106	2bT1PH7Cw3J9p3t7nlXCdh	If I Can't Have You	Shawn Mendes	6584311	88	14	26	-18
107	7sWRlDoTDX8geTR8zzr2vt	Hollywood's Bleeding	Post Malone	6502463	71	7	17	-36
108	1dGr1c8CrMLDpV6mPbImSI	Lover	Taylor Swift	6462447	87	10	2	-21
109	5p7ujcrUXASCNwRaWNHR1C	Without Me	Halsey	6429384	97	56	4	-12
110	0fySG6A6qLE8IvDpayb5bM	VIBEZ	DaBaby	6403876	82	5	53	-28
111	37zdqI4r1gswIzczSBkRon	Aventura	Lunay	6381702	nan	1	111	new
112	1G2CAJeP7rCwOZjlSJ0Zw3	Que Calor (with J Balvin & El Alfa)	Major Lazer	6380535	77	7	77	-35
113	2qG5sZ7Si6sdK74qLxedYM	Con Altura	ROSALÍA	6379169	96	31	30	-17
114	0e7ipj03S05BNilyu5bRzt	rockstar (feat. 21 Savage)	Post Malone	6343479	101	79	8	-13
115	4Ta3PhWmY50ZLU1uhKFKPE	Outnumbered	Dermot Kennedy	6311760	102	4	93	-13
116	0Ryd8975WihbObpp5cPW1t	boyfriend (with Social House)	Ariana Grande	6294511	81	13	3	-35
117	6TqXcAFInzjp0bODyvrWEq	Talk (feat. Disclosure)	Khalid	6242764	100	30	10	-17
118	0DiDStADDVh3SvAsoJAFMk	Only Human	Jonas Brothers	6168695	114	21	31	-4
119	6Qs4SXO9dwPj5GKvVOv8Ki	Dancing With A Stranger (with Normani)	Sam Smith	6095146	104	42	7	-15
120	3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	Ariana Grande	6077893	117	38	3	-3
121	25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	6065126	107	57	6	-14
122	7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	6052555	109	145	1	-13
123	6Ozh9Ok6h4Oi1wUSLtBseN	BOP	DaBaby	6019443	69	5	32	-54
124	7fa9MBXhVfQ8P8Df9OEbD8	Girls Like You (feat. Cardi B)	Maroon 5	5974965	115	72	2	-9
125	285pBltuF7vW8TeWk8hdRR	Lucid Dreams	Juice WRLD	5967758	112	47	24	-13
126	1tNJrcVe6gwLEiZCtprs1u	3 Nights	Dominic Fike	5954792	106	31	51	-20
127	6gBFPUFcJLzWGx4lenP6h2	goosebumps	Travis Scott	5910916	116	115	61	-11
128	0RLLvYBopDwooCyvnTwgYu	F.N	Lil Tjay	5905623	98	3	82	-30
129	3IWs9dAwTqN0EFhOIcBDfs	Be Honest	Jorja Smith	5885301	124	2	124	-5
130	7FGq80cy8juXBCD2nrqdWU	Eastside (with Halsey & Khalid)	benny blanco	5874804	110	47	16	-20
131	2PGA1AsJal6cyMNmKyE56q	200 km/h	Apache 207	5816103	nan	1	131	new
132	6RyuoOJXNzlVWpfC5xQyeI	Alocao (With Bad Gyal)	Omar Montes	5743134	nan	1	132	new
133	3Yh9lZcWyKrK9GjbhuS0hR	Good as Hell	Lizzo	5738530	45	11	44	-88
134	5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	5724483	121	145	7	-13
135	4fj7e6Tc48Bmomwyz2Z2XC	Te Quemaste	Manuel Turizo	5712670	128	8	120	-7
136	0c7K73roy6RW4ebDkf4yGh	VALENTINO	24kGoldn	5698119	120	5	120	-16
137	6RRNNciQGZEXnqk8SQ9yv5	You Need To Calm Down	Taylor Swift	5693078	105	10	17	-32
138	1ZPWWSwCkxKfqdp4H0RFCo	ROXANNE	Arizona Zervas	5686852	nan	1	138	new
139	684EjRHwNsZQ9hCQxL4NYL	El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)	Dimelo Flow	5647273	119	9	87	-20
140	5w9c2J52mkdntKOmRLeM2m	Con Calma	Daddy Yankee	5599450	122	40	2	-18
141	2gwkD6igEhQbDQegRCcdoB	Suge	DaBaby	5561860	118	27	26	-23
142	0tgVpDi06FyKpA1z0VMD4v	Perfect	Ed Sheeran	5528062	125	137	4	-17
143	67ojvEGRPAUCOohuMPqoRC	110	Capital Bra	5429113	113	4	65	-30
144	7dt6x5M1jzdTEt8oCbisTK	Better Now	Post Malone	5414005	126	79	1	-18
145	5PYQUBXc7NYeI1obMKSJK0	Never Really Over	Katy Perry	5399197	123	22	10	-22
146	4guBZjUyrGoHsTahO3IHdj	Did It Again	Lil Tecca	5341040	133	4	133	-13
147	5qrSlOut2rNAWv3ubArkNy	Be Alright	Dean Lewis	5312406	131	26	78	-16
148	2iUXsYOEPhVqEBwsqP70rE	Youngblood	5 Seconds of Summer	5310780	135	72	8	-13
149	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	5285792	138	85	1	-11
150	4hPpVbbakQNv8YTHYaOJP4	One Thing Right	Marshmello	5281507	134	19	30	-16
